"orig","dest","idx3","idx4","value"
"1","1","1","1",3.95876706013753
"2","1","1","1",2.67033497914946
"3","1","1","1",12.0360190589371
"4","1","1","1",11.5977221821935
"5","1","1","1",7.29083168159547
"6","1","1","1",6.10542699180336
"1","2","1","1",4.69345534389575
"2","2","1","1",2.35831956208427
"3","2","1","1",6.66786486420945
"4","2","1","1",6.00220994153769
"5","2","1","1",4.29883731825949
"6","2","1","1",5.09275712925185
"1","3","1","1",19.4355338029801
"2","3","1","1",6.40858964122659
"3","3","1","1",11.1048081752982
"4","3","1","1",9.44742376294878
"5","3","1","1",7.81656624759727
"6","3","1","1",8.85528468405358
"1","4","1","1",16.3536425540508
"2","4","1","1",5.62868140676309
"3","4","1","1",8.49799578857724
"4","4","1","1",17.5475192255506
"5","4","1","1",9.28911415510903
"6","4","1","1",13.7757428438381
"1","5","1","1",7.312576012769
"2","5","1","1",2.63037337917393
"3","5","1","1",5.18510745168835
"4","5","1","1",9.82833332624196
"5","5","1","1",11.8149390256746
"6","5","1","1",8.37993595696907
"1","6","1","1",10.7738793877567
"2","6","1","1",4.8839846131787
"3","6","1","1",9.24485728622292
"4","6","1","1",11.5494655967783
"5","6","1","1",6.60354501777819
"6","6","1","1",6.72533059309583
"1","1","2","1",3.85492634885613
"2","1","2","1",2.51714060564332
"3","1","2","1",11.3389671084077
"4","1","2","1",12.0587050404337
"5","1","2","1",8.4811998691959
"6","1","2","1",5.7733451210571
"1","2","2","1",4.78565509327433
"2","2","2","1",2.35831956208427
"3","2","2","1",6.21631070600936
"4","2","2","1",6.5219209399777
"5","2","2","1",4.43016112697108
"6","2","2","1",5.28812329765057
"1","3","2","1",20.8558970569952
"2","3","2","1",6.50095893626589
"3","3","2","1",10.6191151730922
"4","3","2","1",10.0753590402729
"5","3","2","1",7.54786965580576
"6","3","2","1",9.8907847409225
"1","4","2","1",16.8574553806718
"2","4","2","1",5.90742855995639
"3","4","2","1",8.82332936631473
"4","4","2","1",18.1513706883783
"5","4","2","1",11.1467683830007
"6","4","2","1",14.6696106579284
"1","5","2","1",7.81514908788838
"2","5","2","1",2.8237857230058
"3","5","2","1",5.41698705173692
"4","5","2","1",10.2021174565002
"5","5","2","1",12.1040073891158
"6","5","2","1",8.45813512761339
"1","6","2","1",10.5591781729975
"2","6","2","1",5.03035229557571
"3","6","2","1",8.07811111308497
"4","6","2","1",11.8725365256232
"5","6","2","1",6.78060603225582
"6","6","2","1",6.54439818532725
"1","1","3","1",3.86450992865974
"2","1","3","1",2.5168449359888
"3","1","3","1",11.3389576229456
"4","1","3","1",12.0587104429213
"5","1","3","1",8.48072565587772
"6","1","3","1",5.74166254798426
"1","2","3","1",4.78597498624012
"2","2","3","1",2.35831956208427
"3","2","3","1",6.21631060374137
"4","2","3","1",6.52192213782341
"5","2","3","1",4.43016113024143
"6","2","3","1",5.27048517644466
"1","3","3","1",21.7237368379037
"2","3","3","1",6.50095893626589
"3","3","3","1",9.83143845243248
"4","3","3","1",10.0754045578928
"5","3","3","1",7.54786965580576
"6","3","3","1",9.75984242851974
"1","4","3","1",16.8574553806718
"2","4","3","1",5.93386904445317
"3","4","3","1",8.82335080371464
"4","4","3","1",18.1513764082049
"5","4","3","1",11.1462968334723
"6","4","3","1",14.6696106579284
"1","5","3","1",7.81570328168142
"2","5","3","1",2.82378574297677
"3","5","3","1",5.41699150506164
"4","5","3","1",10.2021184021455
"5","5","3","1",12.1039661475053
"6","5","3","1",8.45813512761339
"1","6","3","1",10.6206525003225
"2","6","3","1",5.05518606859867
"3","6","3","1",8.07805375663957
"4","6","3","1",11.9822619806943
"5","6","3","1",6.78097186829218
"6","6","3","1",6.49455034963888
"1","1","4","1",3.86582398713806
"2","1","4","1",2.51684436533766
"3","1","4","1",11.3389576228596
"4","1","4","1",12.0587104429846
"5","1","4","1",8.480725454863
"6","1","4","1",5.83959864637418
"1","2","4","1",4.78597655764807
"2","2","4","1",2.35831956208427
"3","2","4","1",6.21631060374134
"4","2","4","1",6.52192213782616
"5","2","4","1",4.43016113024143
"6","2","4","1",5.27027635471757
"1","3","4","1",21.6905825430189
"2","3","4","1",6.50095893626589
"3","3","4","1",9.61783600885418
"4","3","4","1",10.0754045611923
"5","3","4","1",7.54786965580576
"6","3","4","1",9.70720299422205
"1","4","4","1",16.8574553806718
"2","4","4","1",5.94351365645064
"3","4","4","1",8.82335080510645
"4","4","4","1",18.1513764082591
"5","4","4","1",11.1462968072007
"6","4","4","1",14.6696106579284
"1","5","4","1",7.81570377332072
"2","5","4","1",2.82378574297677
"3","5","4","1",5.41699150514717
"4","5","4","1",10.2021184021479
"5","5","4","1",12.1039661399601
"6","5","4","1",8.45813512761339
"1","6","4","1",10.6789360611232
"2","6","4","1",5.06675769011615
"3","6","4","1",8.07805375383608
"4","6","4","1",11.9978166020622
"5","6","4","1",6.78097239456894
"6","6","4","1",6.48081700715225
"1","1","5","1",3.86600273550709
"2","1","5","1",2.51684436423629
"3","1","5","1",11.3389576228596
"4","1","5","1",12.0587104429846
"5","1","5","1",8.48072545493465
"6","1","5","1",5.9256008369257
"1","2","5","1",4.78597656426539
"2","2","5","1",2.35831956208427
"3","2","5","1",6.21631060374134
"4","2","5","1",6.52192213782616
"5","2","5","1",4.43016113024143
"6","2","5","1",5.27027510253825
"1","3","5","1",21.7103434196651
"2","3","5","1",6.50095893626589
"3","3","5","1",10.2249356808599
"4","3","5","1",10.0754045611925
"5","3","5","1",7.54786965580576
"6","3","5","1",9.68694379482293
"1","4","5","1",16.8574553806718
"2","4","5","1",5.94703299670649
"3","4","5","1",8.82335080510654
"4","4","5","1",18.1513764082591
"5","4","5","1",11.1462968071992
"6","4","5","1",14.6696106579284
"1","5","5","1",7.81570377375502
"2","5","5","1",2.82378574297677
"3","5","5","1",5.41699150514717
"4","5","5","1",10.2021184021479
"5","5","5","1",12.1039661399617
"6","5","5","1",8.45813512761339
"1","6","5","1",10.696559964427
"2","6","5","1",5.0679873546601
"3","6","5","1",8.07805375383595
"4","6","5","1",11.9982269148437
"5","6","5","1",6.78097239530842
"6","6","5","1",6.47703339863144
"1","1","6","1",3.86602704961923
"2","1","6","1",2.51684436423416
"3","1","6","1",11.3389576228596
"4","1","6","1",12.0587104429846
"5","1","6","1",8.48072545493468
"6","1","6","1",5.95492513752539
"1","2","6","1",4.78597656428805
"2","2","6","1",2.35831956208427
"3","2","6","1",6.21631060374134
"4","2","6","1",6.52192213782616
"5","2","6","1",4.43016113024143
"6","2","6","1",5.27027506469355
"1","3","6","1",21.7636998835264
"2","3","6","1",6.50095893626589
"3","3","6","1",10.3917850365746
"4","3","6","1",10.0754045611925
"5","3","6","1",7.54786965580576
"6","3","6","1",9.67919837068441
"1","4","6","1",16.8574553806718
"2","4","6","1",5.94831721181423
"3","4","6","1",8.82335080510654
"4","4","6","1",18.1513764082591
"5","4","6","1",11.1462968071992
"6","4","6","1",14.6696106579284
"1","5","6","1",7.8157037737554
"2","5","6","1",2.82378574297677
"3","5","6","1",5.41699150514717
"4","5","6","1",10.2021184021479
"5","5","6","1",12.1039661399617
"6","5","6","1",8.45813512761339
"1","6","6","1",10.696594406924
"2","6","6","1",5.06372184149488
"3","6","6","1",8.07805375383595
"4","6","6","1",11.9978823136756
"5","6","6","1",6.78097239530945
"6","6","6","1",6.47599099446415
"1","1","7","1",3.86603035692774
"2","1","7","1",2.51684436423416
"3","1","7","1",11.3389576228596
"4","1","7","1",12.0587104429846
"5","1","7","1",8.48072545493468
"6","1","7","1",5.94559765473073
"1","2","7","1",4.78597656428812
"2","2","7","1",2.35831956208427
"3","2","7","1",6.21631060374134
"4","2","7","1",6.52192213782616
"5","2","7","1",4.43016113024143
"6","2","7","1",5.27027506380679
"1","3","7","1",21.8071045337188
"2","3","7","1",6.50095893626589
"3","3","7","1",9.92387201276009
"4","3","7","1",10.0754045611925
"5","3","7","1",7.54786965580576
"6","3","7","1",9.67634802250553
"1","4","7","1",16.8574553806718
"2","4","7","1",5.94878582477094
"3","4","7","1",8.82335080510654
"4","4","7","1",18.1513764082591
"5","4","7","1",11.1462968071992
"6","4","7","1",14.6696106579284
"1","5","7","1",7.8157037737554
"2","5","7","1",2.82378574297677
