"orig","dest","idx3","idx4","value"
"1","1","1","1",5.40829066892238
"2","1","1","1",2.62089485669061
"3","1","1","1",8.99118640589854
"4","1","1","1",11.8514889500352
"5","1","1","1",8.19513211117969
"6","1","1","1",5.65381112558329
"1","2","1","1",5.50886619481949
"2","2","1","1",2.40969500705066
"3","2","1","1",5.10341221568088
"4","2","1","1",7.37168896604279
"5","2","1","1",4.5807434887077
"6","2","1","1",4.29922522146433
"1","3","1","1",21.875114591183
"2","3","1","1",9.2599026810079
"3","3","1","1",10.7605187775173
"4","3","1","1",14.858845164033
"5","3","1","1",8.07700127701761
"6","3","1","1",16.2736974343484
"1","4","1","1",16.0644392363786
"2","4","1","1",7.60263634223121
"3","4","1","1",7.56405943079726
"4","4","1","1",17.3122993050957
"5","4","1","1",10.6668048480273
"6","4","1","1",13.7714337784506
"1","5","1","1",8.85024739568996
"2","5","1","1",3.09050142419108
"3","5","1","1",5.35874481591555
"4","5","1","1",10.5817402530385
"5","5","1","1",12.484910786194
"6","5","1","1",8.70684160487492
"1","6","1","1",10.0257865562144
"2","6","1","1",5.48787583409102
"3","6","1","1",7.94264818506291
"4","6","1","1",12.7711578489352
"5","6","1","1",6.82941983166597
"6","6","1","1",5.61118353974713
"1","1","2","1",4.64778960118417
"2","1","2","1",2.44881004773112
"3","1","2","1",9.18944227800026
"4","1","2","1",11.4827890534905
"5","1","2","1",8.23083293937589
"6","1","2","1",5.77149138502451
"1","2","2","1",5.40252201779825
"2","2","2","1",2.42297775720129
"3","2","2","1",5.24718903529174
"4","2","2","1",7.66916729115937
"5","2","2","1",4.77869485615259
"6","2","2","1",4.47159302459234
"1","3","2","1",20.6444718591467
"2","3","2","1",9.06334405942855
"3","3","2","1",10.1736537398426
"4","3","2","1",12.418309745744
"5","3","2","1",8.49092222226386
"6","3","2","1",15.1158756181922
"1","4","2","1",15.4902890993076
"2","4","2","1",6.96589432470558
"3","4","2","1",8.24698427554103
"4","4","2","1",17.7442620077338
"5","4","2","1",11.0639091080761
"6","4","2","1",14.3028031432309
"1","5","2","1",8.29904970005265
"2","5","2","1",3.09050142419108
"3","5","2","1",5.19332959249157
"4","5","2","1",10.6422005176909
"5","5","2","1",11.5156378993273
"6","5","2","1",8.61056428696321
"1","6","2","1",9.81491557878274
"2","6","2","1",5.47888329431877
"3","6","2","1",8.06804373219276
"4","6","2","1",13.0241553225032
"5","6","2","1",6.96002947064111
"6","6","2","1",5.43788262880002
"1","1","3","1",4.77360863521131
"2","1","3","1",2.44851950836818
"3","1","3","1",9.19569011874341
"4","1","3","1",11.4798656846023
"5","1","3","1",8.23106414292542
"6","1","3","1",5.75593291247015
