"day","from","to","value"
"232","0","0",1.9754602
"233","0","0",2.1874602
"234","0","0",2.20914
"235","0","0",2.2282867
"236","0","0",2.2719932
"237","0","0",2.2549727
"238","0","0",2.261762
"239","0","0",2.2395525
"240","0","0",2.1995249
"241","0","0",2.278237
"242","0","0",2.0810845
"243","0","0",2.2916384
"244","0","0",2.2366457
"245","0","0",2.232045
"246","0","0",2.1777704
"247","0","0",1.9934036
"248","0","0",2.123145
"249","0","0",1.9103612
"250","0","0",1.9240968
"251","0","0",1.874642
"252","0","0",1.9406682
"232","1","0",1.2174423
"233","1","0",1.3001653
"234","1","0",1.4422348
"235","1","0",1.2454178
"236","1","0",1.3504115
"237","1","0",1.4173354
"238","1","0",1.4224842
"239","1","0",1.4437507
"240","1","0",1.3688298
"241","1","0",1.5103825
"242","1","0",1.3584521
"243","1","0",1.5161672
"244","1","0",1.4295156
"245","1","0",1.3074006
"246","1","0",1.2494997
"247","1","0",1.2871237
"248","1","0",1.2643784
"249","1","0",1.2879235
"250","1","0",1.2673883
"251","1","0",1.2697904
"252","1","0",1.3092272
"232","2","0",4.3077273
"233","2","0",4.911126
"234","2","0",5.4626694
"235","2","0",5.259515
"236","2","0",5.280586
"237","2","0",4.9330177
"238","2","0",5.3290195
"239","2","0",5.2345204
"240","2","0",5.310324
"241","2","0",5.4417295
"242","2","0",4.7209287
"243","2","0",5.254811
"244","2","0",5.3269835
"245","2","0",5.0126543
"246","2","0",4.8893685
"247","2","0",4.495986
"248","2","0",4.6670322
"249","2","0",4.181455
"250","2","0",4.179131
"251","2","0",4.360981
"252","2","0",4.2635174
"232","3","0",3.2689147
"233","3","0",4.0796614
"234","3","0",4.3982067
"235","3","0",4.3916874
"236","3","0",4.230163
"237","3","0",4.002655
"238","3","0",4.311885
"239","3","0",4.224853
"240","3","0",4.187758
"241","3","0",4.3025084
"242","3","0",3.7169716
"243","3","0",4.36543
"244","3","0",4.151521
"245","3","0",4.0893445
"246","3","0",3.9675303
"247","3","0",3.5273557
"248","3","0",3.7222664
"249","3","0",3.1514592
"250","3","0",3.2997363
"251","3","0",3.5025015
"252","3","0",3.3723004
"232","4","0",4.091742
"233","4","0",4.5978155
"234","4","0",5.031716
"235","4","0",4.9532104
"236","4","0",4.7356167
"237","4","0",4.546995
"238","4","0",4.8574557
"239","4","0",4.753122
"240","4","0",4.642639
"241","4","0",4.9265194
"242","4","0",4.3320208
"243","4","0",4.954334
"244","4","0",4.6827083
"245","4","0",4.4866643
"246","4","0",4.485791
"247","4","0",4.2668343
"248","4","0",4.406801
"249","4","0",4.0439878
"250","4","0",4.0737057
"251","4","0",4.190857
"252","4","0",4.1005754
"232","5","0",2.3161879
"233","5","0",2.6345248
"234","5","0",2.7716837
"235","5","0",2.829527
"236","5","0",2.9937901
"237","5","0",2.706562
"238","5","0",2.8033235
"239","5","0",2.6927536
"240","5","0",2.8677223
"241","5","0",2.8549016
"242","5","0",2.5610669
"243","5","0",2.8142183
"244","5","0",2.7066593
"245","5","0",2.7080114
"246","5","0",2.6726649
"247","5","0",2.4269779
"248","5","0",2.55253
"249","5","0",2.2702985
"250","5","0",2.2166991
"251","5","0",2.2561073
"252","5","0",2.2260137
"232","0","1",2.4998918
"233","0","1",3.0911508
"234","0","1",3.3109136
"235","0","1",2.9721127
"236","0","1",3.0377903
"237","0","1",2.926411
"238","0","1",3.208773
"239","0","1",3.1728487
"240","0","1",3.128064
"241","0","1",3.3965814
"242","0","1",2.6265316
"243","0","1",3.2559164
"244","0","1",3.2748337
"245","0","1",2.8962262
"246","0","1",2.7995005
"247","0","1",2.6139953
"248","0","1",2.6021385
"249","0","1",2.3874822
"250","0","1",2.4658492
"251","0","1",2.5349095
"252","0","1",2.3763063
"232","1","1",1.6131924
"233","1","1",1.7101911
"234","1","1",1.6778687
"235","1","1",1.7608873
"236","1","1",1.9588296
"237","1","1",1.778739
"238","1","1",1.767234
"239","1","1",1.7323731
"240","1","1",1.8791685
"241","1","1",1.7650487
"242","1","1",1.8019701
"243","1","1",1.7522868
"244","1","1",1.7609147
"245","1","1",1.8508358
"246","1","1",1.7587311
"247","1","1",1.6296141
"248","1","1",1.7086134
"249","1","1",1.4859911
"250","1","1",1.5135462
"251","1","1",1.5916455
"252","1","1",1.5138942
"232","2","1",1.7982384
"233","2","1",2.329509
"234","2","1",2.45963
"235","2","1",2.3423855
"236","2","1",2.319729
"237","2","1",2.1441379
"238","2","1",2.4326851
"239","2","1",2.4069326
"240","2","1",2.2949872
"241","2","1",2.4646673
"242","2","1",1.9806796
"243","2","1",2.4894488
"244","2","1",2.347139
"245","2","1",2.2479146
