"day","from","to","value"
"232","0","0",3.4197235
"233","0","0",3.4530137
"234","0","0",3.4346585
"235","0","0",3.4249706
"236","0","0",3.4200013
"237","0","0",3.4221518
"238","0","0",3.4728446
"239","0","0",3.4417582
"240","0","0",3.436005
"241","0","0",3.4255993
"242","0","0",3.443914
"243","0","0",3.4791121
"244","0","0",3.399442
"245","0","0",3.4213622
"246","0","0",3.4250903
"247","0","0",3.4413826
"248","0","0",3.4562802
"249","0","0",3.480188
"250","0","0",3.4079096
"251","0","0",3.442355
"252","0","0",3.4256568
"232","1","0",2.6476562
"233","1","0",2.6814334
"234","1","0",2.674178
"235","1","0",2.7042687
"236","1","0",2.6623287
"237","1","0",2.7038786
"238","1","0",2.6765196
"239","1","0",2.6767735
"240","1","0",2.6741297
"241","1","0",2.6901014
"242","1","0",2.676588
"243","1","0",2.6367316
"244","1","0",2.7205133
"245","1","0",2.7013144
"246","1","0",2.697996
"247","1","0",2.6970644
"248","1","0",2.6694648
"249","1","0",2.6543722
"250","1","0",2.6062725
"251","1","0",2.6913962
"252","1","0",2.686933
"232","2","0",12.166771
"233","2","0",12.1983385
"234","2","0",12.22023
"235","2","0",12.228879
"236","2","0",12.148005
"237","2","0",12.201558
"238","2","0",12.157643
"239","2","0",12.219588
"240","2","0",12.202416
"241","2","0",12.200642
"242","2","0",12.197037
"243","2","0",12.187132
"244","2","0",12.235638
"245","2","0",12.234901
"246","2","0",12.223022
"247","2","0",12.226167
"248","2","0",12.190386
"249","2","0",12.17243
"250","2","0",12.0097
"251","2","0",12.161946
"252","2","0",12.092625
"232","3","0",12.650097
"233","3","0",12.655037
"234","3","0",12.679716
"235","3","0",12.664053
"236","3","0",12.571105
"237","3","0",12.615552
"238","3","0",12.575976
"239","3","0",12.658055
"240","3","0",12.624552
"241","3","0",12.618847
"242","3","0",12.60819
"243","3","0",12.582381
"244","3","0",12.653609
"245","3","0",12.659046
"246","3","0",12.642141
"247","3","0",12.649375
"248","3","0",12.592642
"249","3","0",12.594449
"250","3","0",12.508221
"251","3","0",12.550034
"252","3","0",12.511789
"232","4","0",8.473893
"233","4","0",8.499988
"234","4","0",8.517642
"235","4","0",8.502812
"236","4","0",8.433515
"237","4","0",8.482023
"238","4","0",8.469899
"239","4","0",8.481715
"240","4","0",8.46145
"241","4","0",8.449653
"242","4","0",8.459099
"243","4","0",8.464858
"244","4","0",8.46887
"245","4","0",8.473452
"246","4","0",8.473423
"247","4","0",8.484106
"248","4","0",8.473059
"249","4","0",8.458477
"250","4","0",8.376927
"251","4","0",8.428158
"252","4","0",8.381435
"232","5","0",6.043949
"233","5","0",6.025212
"234","5","0",6.060986
"235","5","0",6.0619273
"236","5","0",6.109821
"237","5","0",6.084023
"238","5","0",5.9611816
"239","5","0",6.0421
"240","5","0",6.054341
"241","5","0",6.0626817
"242","5","0",6.043554
"243","5","0",5.9764733
"244","5","0",6.0886607
"245","5","0",6.0637665
"246","5","0",6.0565987
"247","5","0",6.0286756
"248","5","0",6.030774
"249","5","0",6.0312605
"250","5","0",5.999837
"251","5","0",6.115072
"252","5","0",6.107884
"232","0","1",3.3203359
"233","0","1",3.3093467
"234","0","1",3.3592963
"235","0","1",3.3113034
"236","0","1",3.2666628
"237","0","1",3.2952902
"238","0","1",3.2340071
"239","0","1",3.2923467
"240","0","1",3.2659645
"241","0","1",3.2395787
"242","0","1",3.2614985
"243","0","1",3.290076
"244","0","1",3.285751
"245","0","1",3.2827036
"246","0","1",3.2693584
"247","0","1",3.2741444
"248","0","1",3.2817712
"249","0","1",3.2779932
"250","0","1",3.2034245
"251","0","1",3.3028395
"252","0","1",3.2360826
"232","1","1",2.1434233
"233","1","1",2.1121607
"234","1","1",2.150295
"235","1","1",2.1462004
"236","1","1",2.1909163
"237","1","1",2.1513295
"238","1","1",2.057343
"239","1","1",2.1536734
"240","1","1",2.1651974
"241","1","1",2.1646988
"242","1","1",2.1484
"243","1","1",2.1102061
"244","1","1",2.1784115
"245","1","1",2.1711953
"246","1","1",2.1570396
"247","1","1",2.1324122
"248","1","1",2.1340342
"249","1","1",2.131941
"250","1","1",2.1312335
"251","1","1",2.1822312
"252","1","1",2.1788769
"232","2","1",6.123834
"233","2","1",6.1122656
"234","2","1",6.174325
"235","2","1",6.1274347
"236","2","1",6.061057
"237","2","1",6.084088
"238","2","1",6.025888
"239","2","1",6.131661
"240","2","1",6.0979357
"241","2","1",6.0699053
"242","2","1",6.0844016
"243","2","1",6.0956817
"244","2","1",6.0994296
"245","2","1",6.117881
"246","2","1",6.0980325
"247","2","1",6.1039653
"248","2","1",6.0886
"249","2","1",6.096703
"250","2","1",5.9632425
"251","2","1",6.069723
"252","2","1",6.00419
"232","3","1",7.094474
"233","3","1",7.0974326
"234","3","1",7.1189365
"235","3","1",7.123234
"236","3","1",7.132291
"237","3","1",7.1249623
"238","3","1",7.0882754
"239","3","1",7.1253963
"240","3","1",7.135755
"241","3","1",7.1299324
"242","3","1",7.1283064
"243","3","1",7.129231
"244","3","1",7.1290417
"245","3","1",7.1332297
"246","3","1",7.132093
"247","3","1",7.1230326
"248","3","1",7.129375
"249","3","1",7.1072917
"250","3","1",7.0812697
"251","3","1",7.106267
"252","3","1",7.0849113
"232","4","1",3.8440354
"233","4","1",3.886422
"234","4","1",3.8603008
"235","4","1",3.907893
"236","4","1",3.8908167
"237","4","1",3.9018931
"238","4","1",3.8973043
"239","4","1",3.9068513
"240","4","1",3.9161558
"241","4","1",3.9427674
"242","4","1",3.908719
"243","4","1",3.8256674
"244","4","1",3.923976
"245","4","1",3.9240258
"246","4","1",3.9301794
"247","4","1",3.925722
"248","4","1",3.874223
"249","4","1",3.8690405
"250","4","1",3.8266008
"251","4","1",3.827137
"252","4","1",3.8500679
"232","5","1",4.217138
"233","5","1",4.258649
"234","5","1",4.237518
"235","5","1",4.2377257
"236","5","1",4.2438116
"237","5","1",4.226841
"238","5","1",4.2553344
"239","5","1",4.245621
"240","5","1",4.2354817
"241","5","1",4.24323
"242","5","1",4.233131
"243","5","1",4.199281
"244","5","1",4.2165174
"245","5","1",4.229783
"246","5","1",4.2327976
"247","5","1",4.24063
"248","5","1",4.213659
"249","5","1",4.260199
"250","5","1",4.224505
"251","5","1",4.2330484
"252","5","1",4.269249
"232","0","2",10.914408
"233","0","2",10.967264
"234","0","2",10.941428
"235","0","2",10.9348
"236","0","2",10.871807
"237","0","2",10.920433
"238","0","2",10.965144
"239","0","2",10.922363
"240","0","2",10.890768
"241","0","2",10.89243
"242","0","2",10.906224
"243","0","2",10.922178
"244","0","2",10.920787
"245","0","2",10.91513
"246","0","2",10.90733
"247","0","2",10.930281
"248","0","2",10.914413
"249","0","2",10.957039
"250","0","2",10.855586
"251","0","2",10.991874
"252","0","2",10.970919
"232","1","2",5.8813467
"233","1","2",5.847892
"234","1","2",5.907921
"235","1","2",5.881066
"236","1","2",5.876717
"237","1","2",5.8814487
"238","1","2",5.7623253
"239","1","2",5.859391
"240","1","2",5.8508925
"241","1","2",5.839768
"242","1","2",5.84155
"243","1","2",5.816289
"244","1","2",5.8925757
"245","1","2",5.8728356
"246","1","2",5.8560863
"247","1","2",5.8401318
"248","1","2",5.844525
"249","1","2",5.835591
"250","1","2",5.774003
"251","1","2",5.9135103
"252","1","2",5.865833
"232","2","2",10.440236
"233","2","2",10.415769
"234","2","2",10.503746
"235","2","2",10.508427
"236","2","2",10.4809265
"237","2","2",10.501984
"238","2","2",10.291167
"239","2","2",10.469524
"240","2","2",10.471246
"241","2","2",10.472754
"242","2","2",10.445225
"243","2","2",10.351539
"244","2","2",10.544664
"245","2","2",10.514956
"246","2","2",10.493165
"247","2","2",10.456981
"248","2","2",10.4278
"249","2","2",10.380731
"250","2","2",10.254421
"251","2","2",10.464836
"252","2","2",10.401648
"232","3","2",11.523005
"233","3","2",11.514171
"234","3","2",11.53369
"235","3","2",11.538019
