"day","from","to","value"
"232","0","0",3.7685776
"233","0","0",3.6455343
"234","0","0",3.6268907
"235","0","0",3.524728
"236","0","0",3.735024
"237","0","0",3.6815484
"238","0","0",3.6832762
"239","0","0",3.552363
"240","0","0",3.6728299
"241","0","0",3.4527223
"242","0","0",3.6480405
"243","0","0",3.737959
"244","0","0",3.626083
"245","0","0",3.4985387
"246","0","0",3.5952573
"247","0","0",3.621661
"248","0","0",3.3876576
"249","0","0",3.2952528
"250","0","0",3.6498768
"251","0","0",3.4224393
"252","0","0",3.3420115
"232","1","0",3.1337829
"233","1","0",3.0569136
"234","1","0",2.976853
"235","1","0",2.757666
"236","1","0",3.066429
"237","1","0",3.0077236
"238","1","0",3.175331
"239","1","0",2.9094803
"240","1","0",3.0556839
"241","1","0",2.7704747
"242","1","0",2.9514494
"243","1","0",3.0821571
"244","1","0",2.9813573
"245","1","0",2.8382924
"246","1","0",3.074756
"247","1","0",3.0306172
"248","1","0",2.5734942
"249","1","0",2.387122
"250","1","0",2.797257
"251","1","0",2.4941375
"252","1","0",2.4764993
"232","2","0",10.98252
"233","2","0",11.045181
"234","2","0",11.043245
"235","2","0",10.673316
"236","2","0",11.011405
"237","2","0",10.894127
"238","2","0",11.067344
"239","2","0",10.778116
"240","2","0",11.024671
"241","2","0",10.61166
"242","2","0",10.7859335
"243","2","0",10.977909
"244","2","0",10.814673
"245","2","0",10.718511
"246","2","0",11.020078
"247","2","0",10.990346
"248","2","0",10.311201
"249","2","0",10.048283
"250","2","0",10.611528
"251","2","0",10.138598
"252","2","0",10.224681
"232","3","0",12.923635
"233","3","0",12.800328
"234","3","0",12.80649
"235","3","0",12.462428
"236","3","0",12.803986
"237","3","0",12.719064
"238","3","0",12.920147
"239","3","0",12.556821
"240","3","0",12.905393
"241","3","0",12.484837
"242","3","0",12.667531
"243","3","0",12.794266
"244","3","0",12.701515
"245","3","0",12.639333
"246","3","0",12.888066
"247","3","0",12.828114
"248","3","0",12.242138
"249","3","0",11.938667
"250","3","0",12.331124
"251","3","0",12.037009
"252","3","0",11.983065
"232","4","0",8.943832
"233","4","0",8.729932
"234","4","0",8.740042
"235","4","0",8.454804
"236","4","0",8.854344
"237","4","0",8.733608
"238","4","0",8.849298
"239","4","0",8.509552
"240","4","0",8.790535
"241","4","0",8.271486
"242","4","0",8.594669
"243","4","0",8.850945
"244","4","0",8.6406355
"245","4","0",8.462194
"246","4","0",8.736993
"247","4","0",8.701266
"248","4","0",8.196871
"249","4","0",7.8565717
"250","4","0",8.514112
"251","4","0",7.912273
"252","4","0",7.909894
"232","5","0",6.633018
"233","5","0",6.514973
"234","5","0",6.524156
"235","5","0",6.4470344
"236","5","0",6.561992
"237","5","0",6.523454
"238","5","0",6.6059375
"239","5","0",6.441461
"240","5","0",6.60643
"241","5","0",6.35135
"242","5","0",6.4625273
"243","5","0",6.542454
"244","5","0",6.5312114
"245","5","0",6.5219584
"246","5","0",6.590355
"247","5","0",6.5667424
"248","5","0",6.4185004
"249","5","0",6.194984
"250","5","0",6.3401327
"251","5","0",6.150091
"252","5","0",6.110855
"232","0","1",4.6569276
"233","0","1",4.596885
"234","0","1",4.658914
"235","0","1",4.4763923
"236","0","1",4.6096325
"237","0","1",4.550196
"238","0","1",4.6147666
"239","0","1",4.4539013
"240","0","1",4.6087813
"241","0","1",4.2764378
"242","0","1",4.542608
"243","0","1",4.633504
"244","0","1",4.523816
"245","0","1",4.441432
"246","0","1",4.5664
"247","0","1",4.64066
"248","0","1",4.3615084
"249","0","1",4.2315
"250","0","1",4.383344
"251","0","1",4.233711
"252","0","1",4.2289567
"232","1","1",2.6041946
"233","1","1",2.473505
"234","1","1",2.5123699
"235","1","1",2.3430426
"236","1","1",2.5942519
"237","1","1",2.5129952
"238","1","1",2.6178398
"239","1","1",2.363517
"240","1","1",2.557134
"241","1","1",2.3199596
"242","1","1",2.5092442
"243","1","1",2.6141694
"244","1","1",2.48201
"245","1","1",2.338754
"246","1","1",2.5146215
"247","1","1",2.5324996
"248","1","1",2.1723022
"249","1","1",2.0082574
"250","1","1",2.4133997
"251","1","1",2.1453674
"252","1","1",2.1733868
"232","2","1",5.781231
"233","2","1",5.8505707
"234","2","1",5.850003
"235","2","1",5.6394224
"236","2","1",5.697657
"237","2","1",5.7073946
"238","2","1",5.7860484
"239","2","1",5.751698
"240","2","1",5.7249827
"241","2","1",5.6104646
"242","2","1",5.705375
"243","2","1",5.741905
"244","2","1",5.711646
"245","2","1",5.701342
"246","2","1",5.824563
"247","2","1",5.799306
"248","2","1",5.609099
"249","2","1",5.471942
"250","2","1",5.4536853
"251","2","1",5.454076
"252","2","1",5.4289002
"232","3","1",8.082699
"233","3","1",8.017402
"234","3","1",7.9847984
"235","3","1",7.814008
"236","3","1",8.024492
"237","3","1",7.9553204
"238","3","1",8.069699
"239","3","1",7.8890996
"240","3","1",8.050081
"241","3","1",7.731201
"242","3","1",7.9011765
"243","3","1",8.022566
"244","3","1",7.912805
"245","3","1",7.887166
"246","3","1",8.06385
"247","3","1",8.015061
"248","3","1",7.577696
"249","3","1",7.299681
"250","3","1",7.676812
"251","3","1",7.3400803
"252","3","1",7.3659635
"232","4","1",4.459542
"233","4","1",4.5151105
"234","4","1",4.477886
"235","4","1",4.3953133
"236","4","1",4.4866157
"237","4","1",4.44807
"238","4","1",4.52383
"239","4","1",4.4514303
"240","4","1",4.507122
"241","4","1",4.190029
"242","4","1",4.3844485
"243","4","1",4.481254
"244","4","1",4.398474
"245","4","1",4.38032
"246","4","1",4.50356
"247","4","1",4.4872117
"248","4","1",4.195971
"249","4","1",3.9651651
"250","4","1",4.27258
"251","4","1",3.9709222
"252","4","1",3.98071
"232","5","1",4.9965477
"233","5","1",4.997566
"234","5","1",5.0862436
"235","5","1",5.0008364
"236","5","1",5.0094213
"237","5","1",4.9698067
"238","5","1",4.9936595
"239","5","1",4.9493814
"240","5","1",5.0086975
"241","5","1",4.857716
"242","5","1",4.980168
"243","5","1",5.020593
"244","5","1",4.920348
"245","5","1",4.93193
"246","5","1",4.9541445
"247","5","1",5.0341496
"248","5","1",4.9735603
"249","5","1",4.8638577
"250","5","1",4.9752355
"251","5","1",4.914321
"252","5","1",4.888357
"232","0","2",15.947368
"233","0","2",15.895029
"234","0","2",15.888714
"235","0","2",15.377443
"236","0","2",15.851961
"237","0","2",15.767587
"238","0","2",15.974906
"239","0","2",15.574765
"240","0","2",15.840957
"241","0","2",15.440481
"242","0","2",15.690338
"243","0","2",15.870584
"244","0","2",15.645039
"245","0","2",15.556597
"246","0","2",15.85505
"247","0","2",15.806835
"248","0","2",15.22229
"249","0","2",14.972927
"250","0","2",15.452783
"251","0","2",15.086638
"252","0","2",15.072215
"232","1","2",5.9450874
"233","1","2",5.877791
"234","1","2",5.808802
"235","1","2",5.686024
"236","1","2",5.840185
"237","1","2",5.7533
"238","1","2",5.9253335
"239","1","2",5.7348127
"240","1","2",5.8755803
"241","1","2",5.638937
"242","1","2",5.7368846
"243","1","2",5.831502
"244","1","2",5.770015
"245","1","2",5.7232943
"246","1","2",5.9086127
"247","1","2",5.847099
"248","1","2",5.515498
"249","1","2",5.379562
"250","1","2",5.7023687
"251","1","2",5.3901954
"252","1","2",5.4638405
"232","2","2",7.3715067
"233","2","2",7.299246
"234","2","2",7.292482
"235","2","2",7.1078506
"236","2","2",7.344193
"237","2","2",7.255085
"238","2","2",7.3952255
"239","2","2",7.210271
"240","2","2",7.3783946
"241","2","2",7.0674677
"242","2","2",7.1491084
"243","2","2",7.2769713
"244","2","2",7.209185
"245","2","2",7.141654
"246","2","2",7.334884
"247","2","2",7.3009577
"248","2","2",6.90994
"249","2","2",6.762076
"250","2","2",7.10591
"251","2","2",6.761489
"252","2","2",6.7792645
"232","3","2",10.375886
"233","3","2",10.237038
"234","3","2",10.325542
"235","3","2",9.739063
"236","3","2",10.25219
"237","3","2",10.114047
"238","3","2",10.283489
"239","3","2",9.944501
"240","3","2",10.175679
"241","3","2",9.658273
"242","3","2",9.986866
"243","3","2",10.239292
"244","3","2",9.980575
"245","3","2",9.8307
"246","3","2",10.167015
"247","3","2",10.131998
"248","3","2",9.5064745
"249","3","2",9.244323
"250","3","2",9.910881
"251","3","2",9.37466
"252","3","2",9.372414
"232","4","2",7.1803594
"233","4","2",7.1617203
"234","4","2",7.1553535
"235","4","2",6.838395
"236","4","2",7.0765452
"237","4","2",7.0458393
"238","4","2",7.188635
"239","4","2",6.9179482
"240","4","2",7.155042
"241","4","2",6.8586526
"242","4","2",7.040301
"243","4","2",7.0643606
"244","4","2",7.035896
"245","4","2",7.040221
"246","4","2",7.198179
"247","4","2",7.1227927
"248","4","2",6.802415
"249","4","2",6.722686
"250","4","2",6.8563304
"251","4","2",6.791545
