"Var1","Var2","Var3","Var4","value"
"A","A","A","A",0.203447960705291
"B","A","A","A",1.11033813633537
"C","A","A","A",0.965642746736506
"D","A","A","A",1.14305469496994
"E","A","A","A",1.05631320241527
"F","A","A","A",0.017311359154792
"G","A","A","A",0.0538805884855167
"H","A","A","A",1.02120741090472
"I","A","A","A",1.08237601620651
"J","A","A","A",1.39832235950235
"K","A","A","A",0.642928225888262
"L","A","A","A",0.778612289740481
"M","A","A","A",0.654892111576439
"N","A","A","A",0.572180509208678
"O","A","A","A",0.227015492398536
"P","A","A","A",0.69845120467199
"Q","A","A","A",1.29471895590467
"R","A","A","A",0.725498407005458
"S","A","A","A",0.33421574362166
"T","A","A","A",0.592082259489682
"U","A","A","A",0.346565484634713
"A","B","A","A",0.308962452710697
"B","B","A","A",0.246773909407806
"C","B","A","A",0.14000208337604
"D","B","A","A",0.229516136214406
"E","B","A","A",0.456306350576033
"F","B","A","A",0.332881740037994
"G","B","A","A",0.195388660954246
"H","B","A","A",0.423958223348456
"I","B","A","A",0.560634931845627
"J","B","A","A",0.784279924760279
"K","B","A","A",0.614428993574554
"L","B","A","A",0.733458366989195
"M","B","A","A",0.672952796738647
"N","B","A","A",0.780868134165141
"O","B","A","A",0.759438005360602
"P","B","A","A",0.165008269257274
"Q","B","A","A",0.221792754835366
"R","B","A","A",0.47229232827196
"S","B","A","A",0.373448460875255
"T","B","A","A",0.457856923466501
"U","B","A","A",0.378537602952369
"A","C","A","A",0.974965044701743
"B","C","A","A",1.16347301035166
"C","C","A","A",0.764538076207376
"D","C","A","A",0.986321653420209
"E","C","A","A",1.04718380813904
"F","C","A","A",1.01440123294288
"G","C","A","A",1.06573515783333
"H","C","A","A",1.52935501520533
"I","C","A","A",0.584335449719729
"J","C","A","A",1.45503987564324
"K","C","A","A",0.852944832490073
"L","C","A","A",1.12690102194435
"M","C","A","A",1.09361231491325
"N","C","A","A",1.0370286672208
"O","C","A","A",0.883197836658898
"P","C","A","A",0.906007168930092
"Q","C","A","A",1.0604816761355
"R","C","A","A",0.877693103053482
"S","C","A","A",0.649660825345563
"T","C","A","A",0.682171866735659
"U","C","A","A",0.492362982903035
"A","D","A","A",1.10717965113403
"B","D","A","A",0.845884798027058
"C","D","A","A",0.679850170748244
"D","D","A","A",0.925092712478357
"E","D","A","A",1.01305899120274
"F","D","A","A",0.643425048398082
"G","D","A","A",0.841144388763575
"H","D","A","A",1.22325354010839
"I","D","A","A",0.819724481064034
"J","D","A","A",1.08248929258586
"K","D","A","A",0.90206244647743
"L","D","A","A",0.674137027752457
"M","D","A","A",0.839711331629563
"N","D","A","A",0.877933020530883
"O","D","A","A",0.838102681242101
"P","D","A","A",0.741120514477158
"Q","D","A","A",0.855728760195855
"R","D","A","A",0.711038139424893
"S","D","A","A",0.312030538897767
"T","D","A","A",0.738536223040785
"U","D","A","A",0.545587732449511
"A","E","A","A",0.754997748002917
"B","E","A","A",1.08486973663562
"C","E","A","A",0.973608121792526
"D","E","A","A",1.0966478076599
"E","E","A","A",1.02532326041667
"F","E","A","A",1.23899938882972
"G","E","A","A",0.99416606026102
"H","E","A","A",1.22100829440352
"I","E","A","A",1.20796120635484
"J","E","A","A",1.49951775388288
"K","E","A","A",0.733274663959337
"L","E","A","A",1.15995627494687
"M","E","A","A",1.07735441132724
"N","E","A","A",0.810548442086771
"O","E","A","A",0.978996966687253
"P","E","A","A",0.757814165559736
"Q","E","A","A",1.37793968838987
"R","E","A","A",0.87057321837263
"S","E","A","A",0.623601611930299
"T","E","A","A",0.847653580596496
"U","E","A","A",0.730617236948585
"A","F","A","A",0.324044042494928
"B","F","A","A",0.55637780822198
"C","F","A","A",0.434000354596748
"D","F","A","A",0.608331178382521
"E","F","A","A",0.611300012732929
"F","F","A","A",0.335554189125796
"G","F","A","A",0.522210643013232
"H","F","A","A",0.746263658688056
"I","F","A","A",0.48167232593254
"J","F","A","A",0.789132587927753
"K","F","A","A",0.400336038351909
"L","F","A","A",0.514846628070338
"M","F","A","A",0.56873978156314
"N","F","A","A",0.560438924696838
"O","F","A","A",0.21915401334695
"P","F","A","A",0.477108091071585
"Q","F","A","A",0.797119529493328
"R","F","A","A",0.672745376377927
"S","F","A","A",0.294003035266857
"T","F","A","A",0.417077621120405
"U","F","A","A",0.288140182619966
"A","A","B","A",0.493370229076278
"B","A","B","A",1.19594318506106
"C","A","B","A",0.000180318305836646
"D","A","B","A",0.848202481547473
"E","A","B","A",0.133958547648317
"F","A","B","A",0.540184864078798
"G","A","B","A",0.736002883088977
"H","A","B","A",0.290518471145566
"I","A","B","A",0.77412612818793
"J","A","B","A",0.916479200386207
"K","A","B","A",0.266206759178871
"L","A","B","A",0.752027735526084
"M","A","B","A",0.705629185547066
"N","A","B","A",0.279366508095155
"O","A","B","A",0.543269397693812
"P","A","B","A",0.48476883606595
"Q","A","B","A",0.608837413184902
"R","A","B","A",0.292994522510646
"S","A","B","A",0.299556088074035
"T","A","B","A",0.800722961396109
"U","A","B","A",0.174751729068633
"A","B","B","A",0.482729233791887
"B","B","B","A",0.875230738281063
"C","B","B","A",0.930046350546739
"D","B","B","A",0.418495019569354
"E","B","B","A",1.08326108378504
"F","B","B","A",1.04307915837472
"G","B","B","A",0.856649789604252
"H","B","B","A",0.589320136668614
"I","B","B","A",0.998180687487973
"J","B","B","A",0.465484588016967
"K","B","B","A",0.902579568603096
"L","B","B","A",0.819903095404296
"M","B","B","A",0.76435955102689
"N","B","B","A",0.638497468293655
"O","B","B","A",0.694828424639967
"P","B","B","A",0.708314015048225
"Q","B","B","A",0.670153523360429
"R","B","B","A",0.198981008464771
"S","B","B","A",0.53294745164464
"T","B","B","A",0.769664817204205
"U","B","B","A",0.862999793564238
"A","C","B","A",0.854500985992325
"B","C","B","A",0.439153330439981
"C","C","B","A",0.121066956757707
"D","C","B","A",0.371444671641746
"E","C","B","A",0.297801293861777
"F","C","B","A",0.349181072037671
"G","C","B","A",0.38021670001113
"H","C","B","A",0.109599099664065
"I","C","B","A",0.471990683771952
"J","C","B","A",0.572255589355887
"K","C","B","A",0.478172874678744
"L","C","B","A",0.456872686948738
"M","C","B","A",0.484815609949776
"N","C","B","A",0.300687442367448
"O","C","B","A",0.0131593063018356
"P","C","B","A",0.396469985667483
"Q","C","B","A",0.458897104304728
"R","C","B","A",0.246081425667602
"S","C","B","A",0.13658885093209
"T","C","B","A",0.392914832348181
"U","C","B","A",0.201586415674973
"A","D","B","A",0.654862810323602
"B","D","B","A",0.316998777156294
"C","D","B","A",0.040197138648028
"D","D","B","A",0.288436434261083
"E","D","B","A",-0.0110346249872693
"F","D","B","A",-0.0154835718856041
"G","D","B","A",0.226152507365185
"H","D","B","A",0.0232800049755247
"I","D","B","A",0.314232025031629
"J","D","B","A",0.295613720479122
"K","D","B","A",0.0698240700163213
"L","D","B","A",0.434763872473464
"M","D","B","A",0.592377530602007
"N","D","B","A",0.0691923651113777
"O","D","B","A",-0.0696570029926602
"P","D","B","A",0.466430095550228
"Q","D","B","A",0.072062740336323
"R","D","B","A",0.0917551648451488
"S","D","B","A",0.199969692620847
