"Var1","Var2","Var3","Var4","value"
"A","A","A","A",2.46648004580582
"B","A","A","A",6.99814966754722
"C","A","A","A",9.23320000298182
"D","A","A","A",4.30849189767337
"E","A","A","A",3.13957324233783
"F","A","A","A",5.75781551037778
"G","A","A","A",2.80844961360543
"H","A","A","A",3.24216885757252
"I","A","A","A",5.5442152518512
"J","A","A","A",4.88457082207372
"K","A","A","A",2.14018212860946
"L","A","A","A",5.11363138891787
"M","A","A","A",3.43627839632148
"N","A","A","A",5.2395732136871
"O","A","A","A",4.56628585146699
"P","A","A","A",6.7794563098977
"Q","A","A","A",5.57666777861827
"R","A","A","A",5.03966285546773
"S","A","A","A",2.50064453785279
"T","A","A","A",4.72889261020179
"U","A","A","A",2.88027832915053
"A","B","A","A",3.1473285934477
"B","B","A","A",5.87699174692223
"C","B","A","A",6.20422571465764
"D","B","A","A",4.0071780516201
"E","B","A","A",3.54675897135354
"F","B","A","A",4.67545640632717
"G","B","A","A",2.39618466422966
"H","B","A","A",3.60856129485157
"I","B","A","A",3.92126177314698
"J","B","A","A",4.03927989680924
"K","B","A","A",2.88124612779671
"L","B","A","A",3.51709037425288
"M","B","A","A",3.29068278915515
"N","B","A","A",4.19840070067913
"O","B","A","A",3.21468468756689
"P","B","A","A",5.07790075886556
"Q","B","A","A",4.5077649842044
"R","B","A","A",4.02954631917365
"S","B","A","A",1.78708926667986
"T","B","A","A",3.38839409811961
"U","B","A","A",2.26567433702214
"A","C","A","A",15.0694676401617
"B","C","A","A",22.0820277900668
"C","C","A","A",19.8123971897616
"D","C","A","A",15.7755547202037
"E","C","A","A",15.6354881828409
"F","C","A","A",18.2582528463405
"G","C","A","A",12.17031141766
"H","C","A","A",19.3790482513684
"I","C","A","A",18.5976029951116
"J","C","A","A",15.351108616237
"K","C","A","A",13.45560185089
"L","C","A","A",12.6921772763432
"M","C","A","A",11.8607442376276
"N","C","A","A",16.9594325617331
"O","C","A","A",16.1683635698836
"P","C","A","A",22.0400217296675
"Q","C","A","A",15.5646125018513
"R","C","A","A",16.8465220609488
"S","C","A","A",8.20601505360193
"T","C","A","A",14.2901193399042
"U","C","A","A",9.19824825275803
"A","D","A","A",14.4557795208648
"B","D","A","A",23.4527874088673
"C","D","A","A",22.3711064440791
"D","D","A","A",17.1135659978411
"E","D","A","A",10.2413919054229
"F","D","A","A",16.62743629889
"G","D","A","A",10.8290604379849
"H","D","A","A",18.5282094173928
"I","D","A","A",14.53391394451
"J","D","A","A",14.123253942611
"K","D","A","A",12.0080588864393
"L","D","A","A",12.5567881824311
"M","D","A","A",12.0569920942847
"N","D","A","A",16.7361228694076
"O","D","A","A",14.5074997470472
"P","D","A","A",19.8465150293442
"Q","D","A","A",13.9005565236652
"R","D","A","A",15.9206643743347
"S","D","A","A",6.42570973530389
"T","D","A","A",13.3202045417873
"U","D","A","A",8.6770595564745
"A","E","A","A",7.25174285059178
"B","E","A","A",15.1804315978691
"C","E","A","A",13.5523569506206
"D","E","A","A",11.4490456227463
"E","E","A","A",5.74869072135524
"F","E","A","A",10.3030599023987
"G","E","A","A",8.53882217023714
"H","E","A","A",11.0315923265814
"I","E","A","A",11.5369855603883
"J","E","A","A",8.66806811255039
"K","E","A","A",8.38732311888756
"L","E","A","A",9.50064207311424
"M","E","A","A",8.10943650317816
"N","E","A","A",12.4842902511802
"O","E","A","A",10.3788508097665
"P","E","A","A",14.4970346578464
"Q","E","A","A",9.28984988397878
"R","E","A","A",10.7351316660191
"S","E","A","A",4.33685182569325
