"Var1","Var2","Var3","Var4","value"
"A","A","A","A",5.42309440344652
"B","A","A","A",4.10540690449971
"C","A","A","A",4.57341124856408
"D","A","A","A",4.57389851043113
"E","A","A","A",5.57041716048417
"F","A","A","A",4.93807715631036
"G","A","A","A",5.03010778127738
"H","A","A","A",5.17405985786002
"I","A","A","A",6.01121357811368
"J","A","A","A",5.5646160408637
"K","A","A","A",5.46329812564066
"L","A","A","A",5.68786570128643
"M","A","A","A",5.76558521552689
"N","A","A","A",4.95979187742906
"O","A","A","A",6.13221384280083
"P","A","A","A",5.02428037534277
"Q","A","A","A",4.95345424546479
"R","A","A","A",3.24972352640916
"S","A","A","A",6.66525836978575
"T","A","A","A",4.91712515186267
"U","A","A","A",4.52596883937073
"A","B","A","A",3.23299108585382
"B","B","A","A",2.47576301103197
"C","B","A","A",2.58844277861609
"D","B","A","A",2.44981196529082
"E","B","A","A",3.01705412540183
"F","B","A","A",3.33193435216744
"G","B","A","A",3.23323722639385
"H","B","A","A",2.69810253667751
"I","B","A","A",2.93607444228532
"J","B","A","A",2.99216817343037
"K","B","A","A",3.07266207030651
"L","B","A","A",3.45714130332054
"M","B","A","A",2.67114326285133
"N","B","A","A",2.73181215231194
"O","B","A","A",3.44392436695674
"P","B","A","A",3.23124780161835
"Q","B","A","A",2.99545416966658
"R","B","A","A",2.09124833582453
"S","B","A","A",3.28516754337037
"T","B","A","A",2.75204626517831
"U","B","A","A",2.41739258409157
"A","C","A","A",10.5830804301537
"B","C","A","A",9.02714573444389
"C","C","A","A",9.14353436250147
"D","C","A","A",9.19716534961466
"E","C","A","A",11.3721892486873
"F","C","A","A",12.1201037205365
"G","C","A","A",11.4273783275423
"H","C","A","A",9.26098867558384
"I","C","A","A",9.47210073544855
"J","C","A","A",10.7312773490898
"K","C","A","A",10.0560743005729
"L","C","A","A",11.3784974475482
"M","C","A","A",9.40036216127771
"N","C","A","A",9.31253280846787
"O","C","A","A",11.5073742434144
"P","C","A","A",10.7676988817748
"Q","C","A","A",9.54699665252801
"R","C","A","A",6.68802100654357
"S","C","A","A",11.2936631193832
"T","C","A","A",9.4170464433981
"U","C","A","A",7.89364702819396
"A","D","A","A",14.2150573060542
"B","D","A","A",11.6557831111318
"C","D","A","A",11.472211706938
"D","D","A","A",10.6168891503657
"E","D","A","A",10.9337661725242
"F","D","A","A",12.8653090874583
"G","D","A","A",12.2209553351198
"H","D","A","A",10.734732669645
"I","D","A","A",11.2239676020725
"J","D","A","A",10.7096177113295
"K","D","A","A",11.291620633468
"L","D","A","A",12.9751655664812
"M","D","A","A",10.8153842298944
"N","D","A","A",10.8648811886918
"O","D","A","A",11.5733029583003
"P","D","A","A",11.9754500633078
"Q","D","A","A",10.0835308475778
"R","D","A","A",8.22089093186578
"S","D","A","A",9.9347748086275
"T","D","A","A",10.2843173123118
"U","D","A","A",8.93519819112237
"A","E","A","A",8.70941371213572
"B","E","A","A",6.97847427474156
"C","E","A","A",7.85128543631974
"D","E","A","A",7.96369168925663
"E","E","A","A",7.31264844818482
"F","E","A","A",7.28069865314519
"G","E","A","A",6.90441025671328
"H","E","A","A",7.25535859661069
"I","E","A","A",7.48188397227175
"J","E","A","A",7.66497575416096
"K","E","A","A",7.64353506740475
"L","E","A","A",7.87596398596948
"M","E","A","A",8.47323276553448
"N","E","A","A",7.55724773334526
"O","E","A","A",7.20408034961748
"P","E","A","A",6.44306844783001
"Q","E","A","A",6.1058934633397
"R","E","A","A",4.56738801238761
"S","E","A","A",5.58958873915553
"T","E","A","A",7.55629899758879
"U","E","A","A",5.61125495549925
"A","F","A","A",7.85138874540735
"B","F","A","A",5.83480444646972
"C","F","A","A",6.38121902486667
"D","F","A","A",6.02656413084869
"E","F","A","A",5.47493542620807
"F","F","A","A",5.88047057326471
"G","F","A","A",6.43642557210997
"H","F","A","A",6.65825918342045
"I","F","A","A",6.62441451142349
"J","F","A","A",4.84069536529993
"K","F","A","A",5.33514319731808
"L","F","A","A",6.15142200109872
"M","F","A","A",5.6768132039692
"N","F","A","A",5.81133186295005
"O","F","A","A",5.14465043366536
"P","F","A","A",6.24853853313878
"Q","F","A","A",5.13284284735963
"R","F","A","A",4.65263982907255
"S","F","A","A",4.59102728569173
"T","F","A","A",4.61981960896835
"U","F","A","A",4.97884668923265
"A","A","B","A",7.39050307358183
"B","A","B","A",5.58030409740813
"C","A","B","A",5.93462140464278
"D","A","B","A",5.23964971359959
"E","A","B","A",6.13331320161224
"F","A","B","A",6.55046645295017
"G","A","B","A",5.96173027976313
"H","A","B","A",6.44308080620291
"I","A","B","A",7.13701558120516
"J","A","B","A",6.60867340891593
"K","A","B","A",6.49182543303058
"L","A","B","A",8.01581505531345
"M","A","B","A",7.07773530902777
"N","A","B","A",6.06654896844565
"O","A","B","A",6.53709048461316
"P","A","B","A",5.51215111639351
"Q","A","B","A",5.70561551375779
"R","A","B","A",3.94457952035237
"S","A","B","A",7.96964773530288
"T","A","B","A",6.09989516613157
"U","A","B","A",5.97723773030048
"A","B","B","A",3.70352768018556
"B","B","B","A",2.65789079712322
"C","B","B","A",2.64437549527335
"D","B","B","A",2.40900864593747
"E","B","B","A",2.72100660696509
"F","B","B","A",2.94134171762013
"G","B","B","A",3.095179617548
"H","B","B","A",2.74370662454558
"I","B","B","A",2.90332616840919
"J","B","B","A",2.81826491411942
"K","B","B","A",2.96188937840087
"L","B","B","A",3.58774850517265
"M","B","B","A",2.75437629251034
"N","B","B","A",2.48787011515219
"O","B","B","A",2.83973081034267
"P","B","B","A",2.75130892458389
"Q","B","B","A",2.60904894599745
"R","B","B","A",2.11846470778329
"S","B","B","A",2.89106467409245
"T","B","B","A",2.44820503155609
"U","B","B","A",2.32037580390188
"A","C","B","A",7.13108265676624
"B","C","B","A",6.00333247618297
"C","C","B","A",5.50405848273231
"D","C","B","A",5.31026791840497
"E","C","B","A",6.09613828217105
"F","C","B","A",6.39067797541411
"G","C","B","A",7.00968709161644
"H","C","B","A",5.85548936532947
"I","C","B","A",6.21802597626193
"J","C","B","A",6.12137022313784
"K","C","B","A",5.86121986438683
"L","C","B","A",7.68570857029465
"M","C","B","A",5.86363332348999
"N","C","B","A",5.48228853293117
"O","C","B","A",5.86873289574518
"P","C","B","A",6.08735912499955
"Q","C","B","A",5.6952290300913
"R","C","B","A",4.38212701558858
"S","C","B","A",6.39633385995936
"T","C","B","A",4.5684948757437
"U","C","B","A",4.38314707456915
"A","D","B","A",10.7593918656852
"B","D","B","A",8.48455228934445
"C","D","B","A",7.8188346994079
"D","D","B","A",6.84720361995117
"E","D","B","A",7.00428756183339
"F","D","B","A",7.36605363483815
"G","D","B","A",8.64550294206039
"H","D","B","A",7.15116239803844
"I","D","B","A",7.66114178349358
"J","D","B","A",6.23102041765965
"K","D","B","A",7.39321502313733
"L","D","B","A",8.33684740229331
"M","D","B","A",7.37586618333813
"N","D","B","A",6.96705171861173
"O","D","B","A",7.05337527478876
"P","D","B","A",7.62146297805128
"Q","D","B","A",6.40250080732207
"R","D","B","A",5.81757650465643
"S","D","B","A",5.90531509108569
"T","D","B","A",5.64516097710351
"U","D","B","A",5.14954916259648
"A","E","B","A",5.68631831727782
"B","E","B","A",4.32989253227428
"C","E","B","A",4.81928452120386
"D","E","B","A",4.22533462829032
"E","E","B","A",4.23796083541555
"F","E","B","A",4.05523037063283
"G","E","B","A",4.23577958277738
"H","E","B","A",4.18005131922047
"I","E","B","A",4.4652490831486
"J","E","B","A",3.23009202790649
"K","E","B","A",4.05803069174529
"L","E","B","A",4.32800435274061
"M","E","B","A",5.40992906895312
"N","E","B","A",4.26123319247358
"O","E","B","A",3.9762959744005
"P","E","B","A",3.85873816578995
"Q","E","B","A",3.9150215121651
"R","E","B","A",2.68102691157646
"S","E","B","A",4.05881095831791
"T","E","B","A",3.74100093425689
"U","E","B","A",3.54598479632043
"A","F","B","A",6.9118961589853
"B","F","B","A",5.00704958795863
"C","F","B","A",5.46707155722792
"D","F","B","A",5.15661037107923
"E","F","B","A",5.460563408789
"F","F","B","A",5.09533326687098
